name,zone,category,tenderdate,type,use,tenure,landsize,gfa,top,glslink,notes,dev,landprice,projectname,psf_gfa
Woodlands Industrial Park E9,,,23/7/2013,Industrial,Business 2 with an integrated Heavy Vehicle Park,30,"180,565.60",#VALUE!,,,,Incorporated Woodlands Pte Ltd,"$72,690,000.00",,"$1,733.24"
Tampines Avenue 10,,,16/7/2013,Residential (Non-Landed),Residential,99,"184,089.60","515,460",,,,MCC Land (Singapore) Pte Ltd,"$289,700,000.00",,"$6,049.41"
Faber Walk,,,18/6/2013,Residential (Non-Landed),Residential,99,"162,804.50","227,931",,,,World Class Land Pte Ltd,"$156,688,000.00",,"$7,399.32"
Sengkang E11,,,30/5/2013,EC,Residential,99,"23,000.00","742,691.76",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Sengkang%20E11,Anchorvale Crescent,Qingjian Realty (South Pacific) Group Pte Ltd,245577000,Bellewaters,
Woodlands E6,,,9/5/2013,EC,Residential,99,"21,004.30","633,032.13",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Woodlands%20E6,Woodlands Avenue 5 / Woodlands Avenue 6,Qingjian Realty (South Pacific) Group Pte Ltd,216000000,Bellewoods,
Kim Tian Road,,,18/4/2013,Residential (Non-Landed),Residential,99,"118,299.00","473,202",,,,Harvestland Development Pte Ltd,"$550,280,000.00",,"$12,516.89"
Venture Avenue,,,12/3/2013,Commercial,Commercial (with minimum component for office use),99,"124,093.00","694,923",,,,Sim Lian JV (Vision) Pte Ltd,"$701,078,147.00",,"$10,858.99"
Punggol Point,,,26/2/2013,Commercial,Food & Beverage with or without retail use,15,"124,929.40","32,291",,,,Fragrance Group Limited,"$11,368,800.00",,"$3,789.60"
Jurong West Street 41,,,29/1/2013,Residential (Non-Landed),Residential,99,"240,646.10","673,815",,,,MCL Land (Prestige) Pte. Ltd.,"$438,888,000.00",,"$7,010.88"
Ang Mo Kio Avenue 2 / Ang Mo Kio Street 13,,,8/1/2013,Residential (Non-Landed),Residential,99,"198,935.90","696,279",,,,Pinehill Investments Pte. Ltd.,"$550,000,048.00",,"$8,502.35"
Sembawang E1a,,,13/12/2012,EC,Residential,99,"21,718.40","654,553.83",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Sembawang%20E1a,Sembawang Crescent / Sembawang Drive,JBE Holdings Pte Ltd,211920000,SkyPark Residences,
Alexandra Road / Alexandra View,,,11/12/2012,Residential (Non-Landed),Residential,99,"69,978.80","342,898",,,,Singland Homes Pte. Ltd.,"$332,680,000.00",,"$10,442.92"
Punggol E12,,,6/12/2012,EC,Residential,99,"14,306.90","461,983.33",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Punggol%20E12,Punggol Field Walk / Punggol East,Sing Holdings Limited,162100000,Waterwoods,
Thomson Road / Irrawaddy Road,,,4/12/2012,White Site,White,99,"71,866.70","301,845",,,,"Hoi Hup Realty Pte Ltd, Sunway Developments Pte. Ltd. and Hoi Hup J.V. Development Pte Ltd","$492,500,000.00",,"$17,562.32"
Pasir Ris E10,,,22/11/2012,EC,Residential,99,"27,660.00","625,217.29",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Pasir%20Ris%20E10,Pasir Ris Drive 3 / Pasir Ris Rise,Hao Yuan Investment Pte Ltd,207000000,Sea Horizon,
Jurong Town Hall Road,,,20/11/2012,Hotel,Hotel,99,"97,162.40","204,046",,,,Tamerton Pte Ltd,"$238,200,000.00",,"$12,565.28"
Jalan Jurong Kechil,,,15/11/2012,Residential (Non-Landed),Residential (option for retirement housing is allowed),60,"109,474.90","153,264",,,,World Class Developments (North) Pte Ltd,"$73,800,000.00",,"$5,182.95"
Sengkang E9,,,8/11/2012,EC,Residential,99,"14,100.80","455,328.17",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Sengkang%20E9,Sengkang West Way / Fernvale Link (Parcel B),Verspring Properties Pte. Ltd.,135000000,Lush Acres,
New Upper Changi Road / Bedok Road,,,16/10/2012,Residential (Non-Landed),Residential,99,"343,162.30","549,064",,,,Sherwood Development Pte Ltd,"$434,550,000.00",,"$8,518.75"
Victoria Street / Jalan Sultan,,,11/10/2012,Hotel,Hotel or Commercial & Residential,99,"90,664.40","333,426",,,,Forward Land Pte Ltd,"$331,336,000.00",,"$10,696.19"
Woodlands E5,,,9/10/2012,EC,Residential,99,"16,505.40","497,443.31",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Woodlands%20E5,Woodlands Avenue 6 / Woodlands Drive 16,Opal Star Pte. Ltd. & Binjai Holdings Pte. Ltd.,150180000,Twin Fountains,
Yishun Avenue 9 / Yishun Industrial Street 1,,,26/9/2012,Industrial,Business 1,30,"126,148.90",#VALUE!,,,,Soilbuild Group Holdings Ltd.,"$31,688,000.00",,"$1,081.51"
Prince Charles Crescent / Prince Charles Square,,,20/9/2012,Residential (Non-Landed),Residential,99,"256,017.70","537,644",,,,"Wingstar Investment Pte. Ltd., Metro Australia Holdings Pte Ltd and Maxdin Pte Ltd","$516,298,888.00",,"$10,336.31"
Dairy Farm Road,,,18/9/2012,Residential (Non-Landed),Residential,99,"188,856.80","396,608",,,,First Shine Properties Pte Ltd and Meadows Bright Development Pte Ltd,"$244,318,000.00",,"$6,630.61"
Pheng Geck Avenue / Tai Thong Crescent,,,6/9/2012,Residential with Commercial at 1st Sty,Residential with Commercial at 1st storey,99,"88,265.10","308,938",,,,Verwood Holdings Pte. Ltd. and Intrepid Investments Pte. Ltd.,"$245,000,000.00",,"$8,535.99"
Punggol E6,,,4/9/2012,EC,Residential,99,"18,747.80","605,384.20",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Punggol%20E6,"Punggol Way
/ Punggol Walk",Qingjian Realty (South Pacific) Group Pte Ltd,189870000,Ecopolitan,
Yishun Avenue 9 / Yishun Industrial Street 1,,,30/8/2012,Industrial,Business 1,30,"216,077.00",#VALUE!,,,,Soon Hock Tuas Development Pte. Ltd.,"$51,388,000.00",,"$1,023.94"
Farrer Road,,,28/8/2012,Residential (Non-Landed),Residential,99,"29,508.50","41,322",,,,Far East Soho Pte. Ltd.,"$45,777,000.00",,"$11,924.20"
Bukit Batok Street 23,,,22/8/2012,Industrial,Business 1,30,"161,574.20",#VALUE!,,,,Soilbuild Group Holdings Ltd,"$32,328,000.00",,$861.44
Tanah Merah Kechil Road,,,31/7/2012,Residential (Non-Landed),Residential,99,"150,674.90","421,892",,,,Fragrance Group Limited and World Class Land Pte Ltd,"$285,215,000.00",,"$7,276.64"
Pheng Geck Avenue / Tai Thong Crescent,,,28/6/2012,Residential (Non-Landed),Residential,99,"52,209.10","182,734",,,,Santarli Corporation Pte Ltd,"$114,800,000.00",,"$6,762.09"
Farrer Drive,,,21/6/2012,Residential (Non-Landed),Residential,99,"67,469.80","107,959",,,,Singland Development Pte. Ltd.,"$113,200,000.00",,"$11,286.14"
Kaki Bukit Road 5 / Kaki Bukit Avenue 6,,,14/6/2012,Industrial,Business 2,30,"140,704.60",#VALUE!,,,,Hock Lian Seng Holdings Limited,"$27,303,784.00",,"$1,491.92"
Buangkok Drive / Sengkang Central,,,12/6/2012,Residential (Non-Landed),Residential,99,"197,412.90","592,248",,,,White Haven Properties Pte. Ltd.,"$301,000,000.00",,"$5,470.44"
Pasir Ris Drive 3,,,5/6/2012,Residential (Non-Landed),Residential,99,"240,216.70","504,460",,,,Capital Development Pte. Ltd.,"$210,999,000.00",,"$4,502.08"
Boon Lay Way,,,29/5/2012,Residential (Non-Landed),Residential,99,"124,729.20","523,867",,,,MCL Land Limited,"$369,388,000.00",,"$7,589.64"
Tampines Avenue 10,,,17/5/2012,Residential (Non-Landed),Residential,99,"216,038.30","604,917",,,,"F.E. Lakeside Pte. Ltd., FCL Topaz Pte. Ltd. and Sekisui House, Ltd.","$252,777,000.00",,"$4,497.81"
Tampines E11,,,10/5/2012,EC,Residential,99,"20,750.50","625,383.06",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Tampines%20E11,Tampines Central 7 / Tampines Avenue 7 / Tampines Avenue 9,"Singxpress Property Development Pte Ltd, Creative Investments Pte Ltd and Kay Lim Realty Pte Ltd",233525655,CityLife@Tampines,
Woodlands E4,,,3/5/2012,EC,Residential,99,"25,800.00","777,565.98",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Woodlands%20E4,Woodlands Avenue 5/ Woodlands Drive 16,Hao Yuan Investment Pte Ltd,247000000,Forestville,
Rangoon Road / Farrer Park Station Road,,,17/4/2012,Hotel,Hotel,99,"33,325.30","139,970",,,,RB Capital Robertson City Pte. Ltd. and RB Capital Farrer Pte. Ltd.,"$151,005,000.00",,"$11,612.20"
Sims Drive / Aljunied Road,,,10/4/2012,Industrial,Business 1,60,"67,942.30",#VALUE!,,,,Fragrance Biz Space Pte. Ltd.,"$43,388,100.00",,"$2,749.48"
Sengkang E8,,,3/4/2012,EC,Residential,99,"21,999.90","828,797.18",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Sengkang%20E8,Fernvale Lane,Peak Living Pte. Ltd.,245000000,The Topiary,
Punggol E7,,,29/3/2012,EC,Residential,99,"13,241.80","427,590.25",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Punggol%20E7,Punggol Central/ Edgefield Plains,Qingjian Realty (South Pacific) Group Pte Ltd,136700000,Waterbay,
Hillview Avenue,,,6/3/2012,Residential (Non-Landed),Residential,99,"136,144.00","381,205",,,,Kingsford Development Pte Ltd,"$243,216,999.00",,"$6,867.43"
Hougang E5,,,1/3/2012,EC,Residential,99,"12,392.20","466,848.50",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Hougang%20E5,Upper Serangoon View/ Upper Serangoon Road,Ho Lee Group Pte Ltd & Evia Real Estate Management Pte Ltd,141480000,Heron Bay,
Bedok South Avenue 3,,,9/2/2012,Residential (Non-Landed),Residential,99,"308,319.30","647,477",,,,"F.E. Lakeside Pte. Ltd., FCL Topaz Pte. Ltd. and Sekisui House Singapore Pte. Ltd.","$345,900,000.00",,"$5,750.24"
Jervois Road,,,2/2/2012,Residential (Non-Landed),Residential,99,"96,420.80","134,998",,,,S.L. Development Pte. Limited,"$118,900,000.00",,"$9,480.15"
Kovan Road / Simon Road,,,18/1/2012,Residential (Non-Landed),Residential,99,"182,918.50","384,133",,,,"Hoi Hup Realty Pte Ltd, Investment Focus Pte Ltd and Oriental Worldwide Investments Inc","$194,600,000.00",,"$5,452.81"
Mount Vernon Road,,,10/1/2012,Residential (Non-Landed),Residential,99,"224,001.20","784,013",,,,"Intrepid Investments Pte Ltd, Sunmaster Holdings Pte. Ltd. and TID Residential Pte. Ltd.","$388,106,106.00",,"$5,328.27"
Alexandra Road / Alexandra View,,,6/12/2011,Residential (Non-Landed),Residential,99,"107,126.30","524,922",,,,"Sunmaster Holdings Pte. Ltd., Intrepid Investments Pte. Ltd. and Garden Estates (Pte) Limited","$396,000,000.00",,"$8,120.08"
Jalan Bukit Merah / Alexandra Road,,,1/12/2011,Hotel,Hotel,99,"85,530.10","239,480",,,,CEL Development Pte. Ltd.,"$189,000,000.00",,"$8,494.76"
Jelebu Road / Petir Road,,,30/11/2011,Commercial,Commercial and Residential (integrated with bus interchange),99,"204,019.60","612,064",,,,Sim Lian Land Pte Ltd and Sim Lian Development Pte Ltd,"$492,882,000.00",,"$8,667.73"
Soon Lee Street,,,29/11/2011,Industrial,Business 2,30,"211,168.80",#VALUE!,,,,KNG Group Pte Ltd.,"$48,111,130.00",,"$1,226.15"
Chestnut Avenue,,,24/11/2011,Residential (Non-Landed),Residential,99,"201,273.80","422,678",,,,S P Setia International (S) Pte Ltd,"$180,000,000.00",,"$4,583.77"
Gambas Avenue / Gambas Crescent,,,17/11/2011,Industrial,Business 1,60,"230,629.50",#VALUE!,,,,HLS Development Pte Ltd,"$78,168,000.00",,"$1,459.26"
Mountbatten Road,,,1/11/2011,Transitional Office,Transitional Office,15,"126,351.20","126,354",,,,Chen Chew Yen,"$15,010,000.00",,"$1,278.64"
Yishun E1,,,25/10/2011,EC,Residential,99,"27,153.50","730,676.83",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Yishun%20E1,Yishun Avenue 7 / Canberra Drive,MCC Land (Singapore) Pte Ltd,213780000,OneCanberra,
Kaki Bukit Road 4,,,20/10/2011,Industrial,Business 2,30,"279,428.60",#VALUE!,,,,NSS Properties Pte. Ltd.,"$65,999,988.00",,"$1,271.17"
Flora Drive,,,19/10/2011,Residential (Non-Landed),Residential,99,"322,360.50","451,309",,,,Realty Consortium Pte. Ltd,"$163,000,000.00",,"$3,887.52"
Pasir Ris E9,,,11/10/2011,EC,Residential,99,"18,576.10","419,887.89",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Pasir%20Ris%20E9,Pasir Ris Drive 3/ Pasir Ris Link,Ho Lee Group Pte Ltd & Maxdin Pte Ltd,122200000,Watercolours,
Jalan Loyang Besar / Pasir Ris Rise,,,4/10/2011,Residential (Non-Landed),Residential,99,"185,933.40","390,462",,,,"Hoi Hup Realty Pte Ltd, Sunway Developments Pte. Ltd. and Oriental Worldwide Investments Inc.","$140,960,000.00",,"$3,885.76"
Robinson Road / Cecil Street,,,20/9/2011,Commercial,Commercial,99,"31,559.00","353,467",,,,Boo Han Holdings Pte. Ltd. and Pearlvine Pte Ltd,"$311,777,000.00",,"$9,494.11"
Woodlands Avenue 12,,,13/9/2011,Industrial,Business 1,60,"202,356.60",#VALUE!,,,,OKH Development Pte Ltd,"$71,838,936.00",,"$1,528.49"
Upper Serangoon Road / Pheng Geck Avenue,,,11/8/2011,Residential (Non-Landed),Residential,99,"93,250.90","326,386",,,,Clerodendrum Land Pte. Ltd.,"$185,168,000.00",,"$6,106.52"
Soon Lee Street,,,13/7/2011,Industrial,Business 2,30,"183,413.60",#VALUE!,,,,KNG Properties Pte. Ltd.,"$64,460,000.00",,"$1,891.42"
Punggol E5,,,7/7/2011,EC,Residential,99,"25,164.20","812,575.82",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Punggol%20E5,Punggol Way/ Punggol Field,FCL Tampines Court Pte. Ltd. & Keong Hong Construction Pte. Ltd.,219468000,Twin Waterfalls,
Choa Chu Kang Road / Phoenix Road,,,30/6/2011,Residential (Non-Landed),Residential,99,"165,605.20","347,773",,,,Far East Civil Engineering (Pte.) Limited and China Construction (South Pacific) Development Co. Pte Ltd.,"$142,777,000.00",,"$4,418.97"
Tuas South Avenue 5 / Tuas South Avenue 8,,,29/6/2011,Industrial,Business 2,45,"46,848.80",#VALUE!,,,,SCB Terraform Pte Ltd,"$7,333,338.00",,"$1,872.06"
Woodlands Avenue 12,,,28/6/2011,Industrial,Business 1,60,"221,687.00",#VALUE!,,,,OKH Development Pte Ltd,"$84,243,821.00",,"$1,636.13"
West Coast Link / West Coast Crescent,,,23/6/2011,Residential (Non-Landed),Residential,99,"136,296.90","381,636",,,,Boo Han Holdings Pte. Ltd.,"$175,777,000.00",,"$4,957.61"
Irving Place,,,22/6/2011,Industrial - White,Business 1 - White,60,"36,090.50",#VALUE!,,,,Oxley Vista Pte. Ltd.,"$43,388,888.00",,"$3,697.23"
Flora Drive,,,16/6/2011,Residential (Non-Landed),Residential,99,"288,655.20","404,121",,,,Frasers Centrepoint Limited,"$131,380,000.00",,"$3,499.27"
Woodlands Avenue 2 / Rosewood Drive,,,7/6/2011,Residential (Non-Landed),Residential,99,"294,710.90","412,603",,,,Fragrance Group Limited and Aspial Corporation Ltd,"$151,500,100.00",,"$3,952.21"
Sembawang Road / Jalan Sendudok,,,26/5/2011,Residential (Non-Landed),Condominium / Flats (Serviced apartments will not be allowed) or Strata Landed Housing,99,"297,781.70","416,898",,,,Hao Yuan Investment Pte. Ltd.,"$191,800,000.00",,"$4,951.98"
Boon Lay Way,,,25/5/2011,White Site,White (Commercial / Hotel / Residential),99,"195,458.20","957,749",,,,JG Trustee Pte. Ltd. (in its capacity as trustee of Infinity Mall Trust) and JG2 Trustee Pte. Ltd. (in its capacity as trustee of Infinity Office Trust),"$968,999,999.00",,"$10,890.09"
Jalan Loyang Besar / Pasir Ris Drive 4,,,10/5/2011,Residential (Non-Landed),Residential,99,"291,208.40","611,547",,,,MCL Land Limited,"$246,100,000.00",,"$4,331.53"
Hillview Avenue,,,28/4/2011,Commercial and Residential,Commercial and Residential,99,"153,858.80","430,815",,,,Tuas Technology Park Pte Ltd,"$289,777,000.00",,"$7,239.90"
Paya Lebar Road / Eunos Road 8,,,21/4/2011,Commercial,Commercial,99,"159,857.40","671,404",,,,"Siong Feng Development Pte Ltd, Guthrie (PLC) Pte Ltd and Sun Venture Commercial Pte Ltd","$585,586,000.00",,"$9,387.85"
Tampines E8,,,14/4/2011,EC,Residential,99,"22,000.00","710,400.81",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Tampines%20E8,Tampines Central 7,Sim Lian Land Pte Ltd,278800000,The Tampines Trilliant,
Bartley Road / Lorong How Sun,,,30/3/2011,Residential (Non-Landed),Residential,99,"237,816.40","665,893",,,,"Intrepid Investments Pte Ltd, Sunmaster Holdings Pte. Ltd. and TID Residential Pte. Ltd.","$413,270,270.00",,"$6,680.20"
Ang Mo Kio Street 62,,,29/3/2011,Industrial,Business 1,60,"300,873.00",#VALUE!,,,,Sim Lian Development Pte Ltd,"$128,128,128.00",,"$1,833.50"
Choa Chu Kang E5,,,22/3/2011,EC,Residential,99,"17,589.80","530,125.20",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Choa%20Chu%20Kang%20E5,Choa Chu Kang Drive,Camborne Developments Pte Ltd,170100000,The Rainforest,
Robertson Quay,,,8/3/2011,Hotel,Hotel,99,"48,631.20","136,171",,,,Novel Developments Pte. Ltd and New Vista Realty Pte. Ltd.,"$127,760,000.00",,"$10,098.81"
Bedok Reservoir Road,,,3/3/2011,Residential (Non-Landed),Residential,99,"491,068.90","687,507",,,,United Venture Development Pte. Ltd.,"$320,000,000.00",,"$5,009.94"
Kaki Bukit Road 4,,,23/2/2011,Industrial,Business 2,30,"263,874.10",#VALUE!,,,,Soon Hock Realty Pte. Ltd.,"$41,399,900.00",,"$1,688.74"
Gopeng Street / Peck Seah Street,,,11/1/2011,Hotel,Hotel,99,"24,879.10","208,987",,,,Golden Development Private Limited,"$194,770,000.00",,"$10,031.42"
Robinson Road / Boon Tat Street,,,5/1/2011,Hotel,Hotel,60,"20,019.30","80,189",,,,Royal Group Holdings Pte Ltd,"$86,000,000.00",,"$11,543.62"
Seletar Road,,,14/12/2010,Residential (Non-Landed),Residential,99,"187,889.20","263,053",,,,Asplenium Land Pte. Ltd.,"$123,000,000.00",,"$5,032.94"
Punggol Central / Punggol Walk,,,7/12/2010,Residential (Non-Landed),Residential,99,"296,293.10","893,372",,,,Sim Lian Land Pte Ltd & Sim Lian Development Pte Ltd,"$363,000,000.00",,"$4,373.55"
Bukit Panjang E3,,,2/12/2010,EC,Residential,99,"20,834.10","672,752.80",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Bukit%20Panjang%20E3,Segar Road,Grand Isle Holdings Pte Ltd,181990000,Blossom Residences,
Pioneer Road North / Soon Lee Street,,,1/12/2010,Industrial,Business 2,30,"155,414.20",#VALUE!,,,,Kng Land Pte. Ltd.,"$26,920,000.00",,$932.21
Tampines E9,,,23/11/2010,EC,Residential,99,"20,600.00","620,847.25",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Tampines%20E9,Tampines Avenue 8,"Hoi Hup Realty Pte Ltd, Sunway Developments Pte Ltd and SC Wong Holdings Pte Ltd",187590000,Arc @Tampines,
Peck Seah Street / Choon Guan Street,,,16/11/2010,White Site,White (Commercial / Hotel / Residential),99,"161,698.00","1,697,836",,,,"Perfect Eagle Pte. Ltd., Guston Pte. Ltd. And Belmeth Pte. Ltd.","$1,708,080,000.00",,"$10,828.59"
Pasir Ris E3,,,21/10/2010,EC,Residential,99,"15,142.20","342,269.17",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Pasir%20Ris%20E3,Pasir Ris Drive 1/ Elias Road,"ChoiceHomes Investments Pte Ltd
/ CEL Development Pte Ltd",89888000,Belysa,
Petir Road,,,7/10/2010,Residential (Non-Landed),Residential,99,"244,809.50","514,104",,,,Wincheer Investment Pte. Ltd.,"$177,396,000.00",,"$3,714.09"
Punggol E2a,,,23/9/2010,EC,Residential,99,"15,700.00","574,563.56",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Punggol%20E2a,Punggol Drive/ Punggol East,Qingdao Construction (Singapore) Pte Ltd,136170000,RiverParc Residence,
Kaki Bukit Avenue 4,,,14/9/2010,Industrial,Business 2,60,"323,125.80",#VALUE!,,,,Wee Hur Development Pte Ltd,"$76,800,000.00",,"$1,023.31"
Jalan Eunos,,,7/9/2010,Residential (Non-Landed),Residential,99,"444,121.10","621,773",,,,Tuas Technology Park Pte Ltd & OPH Marymount Limited,"$257,777,000.00",,"$4,462.43"
Clemenceau Avenue / Havelock Road,,,31/8/2010,Hotel,Hotel,99,"59,222.70","124,374",,,,RB Capital Hotels Pte. Ltd.,"$101,113,000.00",,"$8,750.58"
Stamford Road / North Bridge Road,,,18/8/2010,Commercial,Commercial,99,"154,039.70","542,369",,,,"Capitol Retail Management Pte. Ltd. (as trustee-manager of Capitol Retail Trust), Capitol Hotel Management Pte. Ltd. (as trustee-manager of Capitol Hotel Trust) & Capitol Residential Development Pte. Ltd.","$250,000,000.00",,"$4,961.40"
Ubi Road 1,,,11/8/2010,Industrial,Business 1,60,"375,141.10",#VALUE!,,,,Oxley Rising Pte Ltd,"$158,100,000.00",,"$1,814.50"
Jurong Gateway Road,,,24/6/2010,White Site,White (Commercial / Hotel / Residential),99,"205,849.40","1,152,765",,,,Lend Lease Retail Investments 3 Pte. Ltd. and Lend Lease Commercial Investments Pte. Ltd.,"$748,888,000.00",,"$6,992.55"
Punggol E4,,,15/6/2010,EC,Residential,99,"22,497.30","726,459.10",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Punggol%20E4,Punggol Field / Punggol Road,"ChoiceHomes Investments Pte Ltd
/ CEL Development Pte Ltd",223740000,Prive,
Upper Serangoon Road / Pheng Geck Avenue,,,2/6/2010,Residential (Non-Landed),Residential,99,"53,514.70","187,309",,,,Qingdao Construction (Singapore) Pte Ltd,"$113,737,000.00",,"$6,535.86"
Sengkang E3,,,25/5/2010,EC,Residential,99,"17,001.30","548,988.06",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Sengkang%20E3,"Sengkang East Ave /
Buangkok Drive",Maxdin Pte Ltd & Lee Carriers Pte Ltd,176000000,Austville Residences,
Hougang Avenue 2,,,20/5/2010,Residential (Non-Landed),Residential,99,"325,013.80","455,022",,,,MCL Land (Serangoon) Pte Ltd,"$207,500,000.00",,"$4,908.45"
Simei Street 3,,,11/5/2010,Residential (Non-Landed),Residential,99,"126,935.70","291,953",,,,CEL Development Pte Ltd,"$152,688,000.00",,"$5,629.26"
Boon Lay Way / Lakeside Drive,,,4/5/2010,Residential (Non-Landed),Residential,99,"173,479.90","607,188",,,,Keppel Land (Mayfair) Pte Ltd,"$302,980,000.00",,"$5,370.94"
Upper Changi Road North / Flora Drive,,,27/4/2010,Residential (Non-Landed),Residential,99,"330,214.70","462,309",,,,Tripartite Developers Pte Ltd,"$148,300,000.00",,"$3,452.77"
Woodlands Avenue 12,,,21/4/2010,Industrial,Business 1,60,"347,443.00",#VALUE!,,,,Boon Keng Development Pte Ltd,"$65,180,000.00",,$807.70
Yishun Avenue 6 / Yishun Avenue 9,,,13/4/2010,Industrial,Business 1,60,"153,479.90",#VALUE!,,,,Soilbuild Group Holdings Ltd,"$29,290,000.00",,$821.65
Yishun Avenue 6 / Yishun Industrial Street 1,,,6/4/2010,Industrial,Business 1,60,"152,766.30",#VALUE!,,,,OKH Management Pte Ltd,"$27,200,000.00",,$766.59
Mohamed Sultan Road,,,18/3/2010,Transitional Office,Transitional Office,15,"66,480.60","99,725",,,,Link (THM) Holdings Pte Ltd,"$17,190,000.00",,"$1,855.37"
Tampines Avenue 1 / Avenue 10,,,16/3/2010,Residential (Non-Landed),Residential,99,"341,642.50","717,451",,,,Sim Lian Land Pte Ltd,"$302,000,000.00",,"$4,530.79"
Yishun E3,,,11/3/2010,EC,Residential,99,"15,074.20","454,309.50",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Yishun%20E3,Yishun Avenue 11,MCC Land (Singapore) Pte Ltd,127800000,The Canopy,
Sengkang E6,,,4/3/2010,EC,Residential,99,"19,000.00","613,528",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Sengkang%20E6,Compassvale Bow,Opal Star Pte Ltd & Lum Chang Building Contractors Pte Ltd,193280000,Esparina Residences,
Choa Chu Kang Road / Woodlands Road,,,23/2/2010,Residential (Non-Landed),Flats or serviced apartments with existing commercial development,99,"168,399.40","375,576.91",,,,Dollar Land Singapore Private Limited,"$163,999,999.99",,"$4,700.07"
Pioneer Road North / Soon Lee Drive,,,9/12/2009,Industrial,Business 2,30,"204,065.90",#VALUE!,,,,KNG Realty Pte. Ltd.,"$19,411,112.00",,$511.93
Upper Thomson Road,,,5/11/2009,Residential (Non-Landed),Residential,99,"224,397.30","471,243",,,,Treasure Well Investments Limited,"$251,338,668.00",,"$5,740.82"
Serangoon Avenue 3,,,7/10/2009,Residential (Non-Landed),Residential,99,"149,369.30","418,243",,,,Intrepid Investments Pte. Ltd.,"$221,207,207.00",,"$5,692.85"
Yio Chu Kang Road / Seletar Road,,,17/9/2009,Commercial and Residential,Commercial and Residential,99,"226,036.60","316,451",,,,Far East Square Pte. Ltd.,"$119,080,000.00",,"$4,050.34"
Dakota Crescent,,,8/9/2009,Residential (Non-Landed),Residential,99,"185,023.90","647,584",,,,UOL Development (Novena) Pte. Ltd.,"$329,000,800.00",,"$5,468.40"
New Bridge Road,,,3/9/2009,Hotel,Hotel,99,"48,242.70","168,849",,,,Leedon Investments Pte Ltd,"$67,699,800.00",,"$4,315.66"
Kaki Bukit Road 2,,,12/8/2009,Industrial,Business 2,30,"115,380.90",#VALUE!,,,,KNG Development Pte Ltd,"$12,100,000.00",,"$1,128.78"
Woodlands Industrial Park E5 / Woodlands Avenue 4,,,7/7/2009,Industrial,Business 2,60,"269,224.70",#VALUE!,,,,Wee Hur Development Pte Ltd,"$22,900,000.00",,$366.22
Short Street,,,10/6/2009,Hotel,Hotel,99,"12,535.30","43,883",,,,Fragrance Assets Pte Ltd,"$15,510,000.00",,"$3,804.27"
Kallang Road / Jellicoe Road,,,9/10/2008,Hotel,Hotel,99,"45,414.00","204,359",,,,Citywide Land Pte Ltd,"$51,000,000.00",,"$2,686.19"
Kallang Pudding Road,,,7/10/2008,Industrial,Business 1,60,"61,817.80",#VALUE!,,,,Orion-Four Development Pte Ltd,"$10,800,000.00",,$752.19
Ubi Avenue 4,,,30/9/2008,Industrial,Business 1,60,"123,690.50",#VALUE!,,,,Sim Lian Land Pte Ltd,"$26,300,000.00",,$915.46
New Upper Changi Road / Tanah Merah Kechil Avenue,,,9/9/2008,Residential (Non-Landed),Residential,99,"106,296.40","297,636",,,,TID Pte. Ltd.,"$84,000,000.00",,"$3,037.75"
Woodlands Industrial Park E5,,,22/7/2008,Industrial,Business 2,60,"180,830.40",#VALUE!,,,,Soilbuild Group Holdings Ltd,"$13,610,000.00",,$324.05
Balestier Road / Ah Hood Road,,,16/7/2008,Hotel,Hotel integrated with Park,99,"190,101.10","425,928",,,,HH Properties Pte. Ltd.,"$73,300,000.00",,"$1,852.37"
